Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
10,Baseline,4,A,0.2,-0.45,0.45,0.6,3.0,0.0,-0.8,0.23076923076923078,0.9,0.725
10,Baseline,5,A,0.6,-0.050000000000000044,0.050000000000000044,0.45,3.0,0.0,-0.8,1.2,0.9,0.725
10,Baseline,6,A,0.6,-0.050000000000000044,0.050000000000000044,0.55,4.0,0.0,-0.8,1.6,0.9,0.725
10,Baseline,7,A,0.5,-0.15000000000000002,0.15000000000000002,0.675,3.0,0.0,-0.8,0.625,0.9,0.725
10,Frequency,1,A,0.9,0.25,0.25,0.65,3.0,-0.3,-0.6666666666666667,1.542857142857143,0.8,0.8166666666666665
10,Frequency,2,A,0.8,0.15000000000000002,0.15000000000000002,0.75,2.0,-0.3,-0.6666666666666667,1.0,0.8,0.8166666666666665
10,Frequency,3,A,0.8,0.15000000000000002,0.15000000000000002,0.65,2.0,-0.3,-0.6666666666666667,5.333333333333333,0.8,0.8166666666666665
10,Frequency,4,A,0.8,0.15000000000000002,0.15000000000000002,0.95,2.0,-0.3,-0.6666666666666667,0.7881773399014778,0.8,0.8166666666666665
10,Frequency,5,A,0.3,-0.35000000000000003,0.35000000000000003,0.95,2.0,-0.3,-0.6666666666666667,0.25,0.8,0.8166666666666665
10,Frequency,6,A,0.6,-0.050000000000000044,0.050000000000000044,0.95,2.0,-0.3,-0.6666666666666667,0.888888888888889,0.8,0.8166666666666665
10,Frequency,7,A,1.0,0.35,0.35,0.4625,1.0,-0.3,-0.6666666666666667,0.7142857142857142,0.8,0.8166666666666665
11,Baseline,1,A,0.9,0.25,0.25,0.65,8.0,0.20000000000000007,0.47398843930635837,1.035971223021583,0.65,0.6916666666666667
11,Baseline,2,A,0.6,-0.050000000000000044,0.050000000000000044,0.75,8.0,0.20000000000000007,0.47398843930635837,0.7741935483870968,0.65,0.6916666666666667
11,Baseline,3,A,0.8,0.15000000000000002,0.15000000000000002,0.7,8.0,0.20000000000000007,0.47398843930635837,0.7619047619047619,0.65,0.6916666666666667
11,Baseline,4,A,0.4,-0.25,0.25,0.55,4.0,0.20000000000000007,0.47398843930635837,0.23880597014925373,0.65,0.6916666666666667
11,Baseline,5,A,0.98,0.32999999999999996,0.32999999999999996,0.7,8.0,0.20000000000000007,0.47398843930635837,1.6610169491525422,0.65,0.6916666666666667
11,Baseline,6,A,0.7,0.04999999999999993,0.04999999999999993,0.8,7.0,0.20000000000000007,0.47398843930635837,0.5664739884393063,0.65,0.6916666666666667
11,Baseline,7,A,0.7,0.04999999999999993,0.04999999999999993,0.6875,7.0,0.20000000000000007,0.47398843930635837,0.5505617977528089,0.65,0.6916666666666667
11,Frequency,1,A,0.6,-0.050000000000000044,0.050000000000000044,0.55,7.0,0.09999999999999998,0.16748768472906395,0.8235294117647058,0.85,0.725
11,Frequency,2,A,0.8,0.15000000000000002,0.15000000000000002,0.65,6.0,0.09999999999999998,0.16748768472906395,0.7111111111111111,0.85,0.725
11,Frequency,3,A,0.6,-0.050000000000000044,0.050000000000000044,0.65,6.0,0.09999999999999998,0.16748768472906395,0.6486486486486487,0.85,0.725
11,Frequency,4,A,0.7,0.04999999999999993,0.04999999999999993,0.8,7.0,0.09999999999999998,0.16748768472906395,0.6621621621621621,0.85,0.725
11,Frequency,5,A,0.8,0.15000000000000002,0.15000000000000002,0.95,8.0,0.09999999999999998,0.16748768472906395,0.7150837988826817,0.85,0.725
11,Frequency,6,A,0.8,0.15000000000000002,0.15000000000000002,0.75,8.0,0.09999999999999998,0.16748768472906395,0.6305418719211823,0.85,0.725
11,Frequency,7,A,0.7,0.04999999999999993,0.04999999999999993,0.7125,7.0,0.09999999999999998,0.16748768472906395,0.5632183908045977,0.85,0.725
13,Baseline,1,A,1.34,0.6900000000000001,0.6900000000000001,0.7,6.0,0.71,0.7678160919540229,1.2681388012618295,0.7,0.7916666666666667
13,Baseline,2,A,0.64,-0.010000000000000009,0.010000000000000009,0.75,4.0,0.71,0.7678160919540229,0.40992794235388313,0.7,0.7916666666666667
13,Baseline,3,A,0.88,0.22999999999999998,0.22999999999999998,0.9,6.0,0.71,0.7678160919540229,0.7462897526501767,0.7,0.7916666666666667
13,Baseline,4,A,1.27,0.62,0.62,1.0,8.0,0.71,0.7678160919540229,0.8407116259826232,0.7,0.7916666666666667
13,Baseline,5,A,0.89,0.24,0.24,0.65,8.0,0.71,0.7678160919540229,0.8516746411483255,0.7,0.7916666666666667
13,Baseline,6,A,0.98,0.32999999999999996,0.32999999999999996,0.75,7.0,0.71,0.7678160919540229,0.6308045977011494,0.7,0.7916666666666667
