participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
56,172.67134449756995,"[0.14104908451519904, 0.48515050076114374]",[0.20507108 0.31166878],7839.403248427706,349.3426889951399,356.3856108308644
57,141.38061979362527,"[0.0014080939469784948, 0.24074262117360112]",[0.20880517 0.01947773],7980.783868221331,286.76123958725054,293.804161422975
58,123.40004208810322,"[1.368085474994113, 0.2806428404075386]",[0.32694393 0.05722224],8104.183910309434,250.80008417620644,257.8430060119309
59,142.82199888649717,"[0.239662635394996, 0.7920488881352583]",[0.14983453 0.        ],8247.005909195932,289.64399777299434,296.6869196087188
60,164.76125925843158,"[0.09410460759954054, 0.9153729502600131]",[1.48864777 0.7842236 ],8411.767168454364,333.52251851686316,340.56544035258764
61,140.95580095202018,"[4.285343310432792, 0.03392062478680635]",[0.15085595 0.        ],8552.722969406384,285.91160190404037,292.95452373976485
62,173.2508222895456,"[1.5156794588324718, 0.9938480105290074]",[1.51603201 0.9832622 ],8725.97379169593,350.5016445790912,357.5445664148157
63,109.16160494723003,"[2.233484050025278, 0.9149069012945156]",[1.00692682 0.17274601],8835.13539664316,222.32320989446006,229.36613173018455
64,47.220653827951516,"[1.5183809786910567, 0.9202214811928301]",[0.26400764 0.01619031],8882.356050471111,98.44130765590303,105.48422949162753
65,172.56239751490122,"[0.0322512904293587, 0.7087585452239688]",[0.26638974 0.40804035],9054.918447986012,349.12479502980244,356.1677168655269
66,97.6659428834539,"[0.4705758596785786, 0.9083733583231336]",[0.31185217 0.04351548],9152.584390869466,199.3318857669078,206.37480760263227
67,160.19569754683178,"[1.576269239953385, 0.7207275387842025]",[2.71242497 0.90599001],9312.780088416297,324.39139509366356,331.43431692938805
68,173.28679513998665,"[2.2187204961725637, 0.2817178500322567]",[0. 1.],9486.066883556283,350.5735902799733,357.6165121156978
69,135.68017341641533,"[0.5323154030415234, 0.17663183396425064]",[0.12129797 0.00145174],9621.747056972697,275.36034683283066,282.40326866855514
70,76.12684921884555,"[0.29940143934117314, 0.18809635285344906]",[0.6109519  0.00221302],9697.873906191542,156.2536984376911,163.29662027341558
71,167.80967844004675,"[0.40466350221338876, 0.49115228184678084]",[0.07888239 0.02221086],9865.683584631588,339.6193568800935,346.662278715818
72,164.4334834214601,"[0.057903849468801116, 0.05470103359092504]",[0.08826638 0.00881906],10030.117068053049,332.8669668429202,339.9098886786447
73,121.78072017393826,"[1.057890728653752, 0.6326467119792591]",[0.25016906 0.04204869],10151.897788226986,247.56144034787653,254.604362183601
74,115.0308871209008,"[0.09292358564477632, 0.02345276866394974]",[0.42103776 0.04390776],10266.928675347886,234.0617742418016,241.10469607752609
75,171.98539637697345,"[1.9084101879546056, 0.9503934107722803]",[1.03706394 0.78056704],10438.91407172486,347.9707927539469,355.0137145896714
