Subnum,AIC,BIC,model,Condition,t,alpha,scale,la,alpha_neg,weight
13,260.3205541960767,273.5138236622689,decay_PVL,Frequency,0.616118458,0.9999,0.0001,4.9999,,
13,273.536197002576,280.1328317356721,decay_win,Frequency,0.30992117,0.15284077,,,,
13,260.8294002413391,274.02266970753124,delta_asymmetric_decay_win,Frequency,0.95077871,0.9999,,,0.97520078,0.53866348
14,241.3606502569521,247.95728499004815,delta,Baseline,4.9999,0.000615426432,,,,
14,243.630653397161,256.8239228633532,delta_PVL,Baseline,4.9999,0.000430262907,0.63722711,3.88499715,,
14,242.4177769342096,252.3127290338537,delta_asymmetric,Baseline,4.9999,0.000389579793,,,0.0010749867,
14,244.81803792182455,251.41467265492065,decay,Baseline,0.08539081,0.0001,,,,
14,244.5383051470443,257.73157461323643,decay_PVL,Baseline,0.0549250462,0.0001,0.356975876,4.9999,,
14,246.03475333223832,252.6313880653344,decay_win,Baseline,0.19652695,0.01840444,,,,
14,244.7583736373637,257.95164310355585,delta_asymmetric_decay_win,Baseline,4.9999,0.000122195102,,,0.00317298946,0.9999
14,279.2802409312276,285.8768756643237,delta,Frequency,0.18125773,0.51874828,,,,
14,282.9217602510653,296.1150297172574,delta_PVL,Frequency,0.15909526,0.52659076,0.9999,4.9999,,
14,279.1194623356698,289.01441443531394,delta_asymmetric,Frequency,0.426793069,0.0001,,,0.907206563,
14,279.8428542988318,286.4394890319279,decay,Frequency,0.04906412,0.9999,,,,
14,281.65102203334027,294.8442914995324,decay_PVL,Frequency,0.141513138,0.9999,0.0001,4.9999,,
14,278.6631967831415,285.2598315162376,decay_win,Frequency,0.04020121,0.0001,,,,
14,281.10256041322333,294.29582987941546,delta_asymmetric_decay_win,Frequency,0.441307466,0.0001,,,0.9999,0.9999
15,276.1400480887749,282.736682821871,delta,Baseline,4.9999,0.000121204756,,,,
15,278.7937718617282,291.98704132792034,delta_PVL,Baseline,0.420971368,0.9999,0.9999,0.0001,,
15,269.55927814017883,279.45423023982295,delta_asymmetric,Baseline,0.936192311,0.55957678,,,0.0001,
15,269.4311155651027,276.0277502981988,decay,Baseline,0.57108046,0.9999,,,,
15,273.239678503409,286.4329479696011,decay_PVL,Baseline,0.578778112,0.9999,0.9999,0.0001,,
