Subnum,Condition,EstA,EstB,EstC,EstD,A_Confidence,B_Confidence,C_Confidence,D_Confidence,Phase
11,Frequency,0.8,0.2,0.9,0.5,8.0,9.0,9.0,8.0,6
11,Frequency,0.7,0.2,0.9,0.5,7.0,9.0,8.0,7.0,7
12,Baseline,6.75,4.0,5.8,4.0,7.0,5.0,6.0,3.0,1
12,Baseline,7.4,3.08,7.8,3.8,5.0,6.0,8.0,5.0,2
12,Baseline,10.0,8.0,16.0,12.0,6.0,4.0,7.0,6.0,3
12,Baseline,12.0,9.0,18.0,15.0,6.0,4.0,5.0,6.0,4
12,Baseline,20.0,11.0,20.0,18.0,8.0,7.0,6.0,5.0,5
12,Baseline,23.0,8.0,22.0,28.0,8.0,6.0,7.0,7.0,6
12,Baseline,15.0,11.0,16.0,18.0,6.0,7.0,8.0,6.0,7
12,Frequency,5.0,3.0,2.0,4.0,9.0,8.0,3.0,9.0,1
12,Frequency,3.0,4.0,3.0,2.0,7.0,7.0,7.0,8.0,2
12,Frequency,10.0,7.0,8.0,3.0,6.0,6.0,9.0,8.0,3
12,Frequency,24.0,14.0,8.0,19.0,9.0,5.0,5.0,8.0,4
12,Frequency,29.0,22.0,11.0,26.0,9.0,8.0,6.0,8.0,5
12,Frequency,32.0,18.0,14.0,28.0,8.0,9.0,8.0,9.0,6
12,Frequency,34.0,23.0,18.0,30.0,7.0,8.0,7.0,7.0,7
13,Baseline,1.34,0.58,0.44,0.38,6.0,3.0,4.0,3.0,1
13,Baseline,0.64,0.24,1.44,0.27,4.0,2.0,6.0,3.0,2
13,Baseline,0.88,0.12,1.22,0.03,6.0,1.0,7.0,7.0,3
13,Baseline,1.27,0.23,1.56,0.12,8.0,3.0,8.0,7.0,4
13,Baseline,0.89,0.22,0.74,0.24,8.0,8.0,8.0,8.0,5
13,Baseline,0.98,-0.44,1.69,0.24,7.0,4.0,9.0,6.0,6
13,Baseline,0.78,0.22,0.89,0.33,3.0,2.0,4.0,2.0,7
13,Frequency,0.59,0.29,0.58,0.34,3.0,2.0,4.0,2.0,1
13,Frequency,1.34,0.12,0.56,-0.22,2.0,1.0,2.0,2.0,2
13,Frequency,0.77,0.35,0.56,1.59,2.0,1.0,1.0,1.0,3
13,Frequency,0.19,0.11,0.23,0.77,2.0,1.0,1.0,2.0,4
13,Frequency,0.39,0.11,0.23,0.88,2.0,1.0,2.0,1.0,5
13,Frequency,0.29,-0.11,0.12,0.58,2.0,1.0,1.0,2.0,6
13,Frequency,0.98,0.22,0.56,0.88,1.0,1.0,1.0,2.0,7
14,Baseline,2.0,2.5,2.0,2.0,8.0,9.0,3.0,5.0,1
14,Baseline,2.0,4.0,4.0,3.0,8.0,7.0,5.0,5.0,2
14,Baseline,5.0,4.0,6.0,3.0,6.0,6.0,9.0,4.0,3
14,Baseline,2.0,5.0,8.0,3.0,3.0,5.0,10.0,3.0,4
14,Baseline,5.0,3.0,6.0,3.0,3.0,5.0,9.0,4.0,5
14,Baseline,3.0,6.0,7.0,2.0,2.0,8.0,10.0,3.0,6
14,Baseline,7.0,5.0,8.0,7.0,8.0,1.0,10.0,6.0,7
14,Frequency,4.0,2.0,3.0,2.0,7.0,1.0,3.0,3.0,1
14,Frequency,4.0,5.0,4.0,3.0,6.0,8.0,6.0,2.0,2
14,Frequency,4.0,5.0,6.0,5.0,2.0,6.0,8.0,5.0,3
14,Frequency,5.0,8.0,7.0,5.0,3.0,9.0,9.0,5.0,4
14,Frequency,4.0,5.0,5.0,4.0,6.0,4.0,9.0,3.0,5
14,Frequency,6.0,6.0,5.0,6.0,8.0,9.0,8.0,5.0,6
14,Frequency,5.0,3.0,7.0,4.0,9.0,3.0,9.0,7.0,7
15,Baseline,0.5,0.4,0.3,0.6,1.0,1.0,1.0,1.0,1
15,Baseline,1.0,0.5,0.3,0.4,3.0,3.0,3.0,3.0,2
15,Baseline,0.5,0.5,0.4,0.6,2.0,2.0,2.0,2.0,3
15,Baseline,0.25,0.25,0.25,0.25,2.0,2.0,2.0,2.0,4
15,Baseline,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,5
15,Baseline,0.3,0.3,0.3,0.3,1.0,1.0,1.0,1.0,6
15,Baseline,1.0,0.6,0.4,0.1,2.0,2.0,2.0,2.0,7
15,Frequency,0.5,0.8,0.3,0.6,2.0,2.0,2.0,2.0,1
15,Frequency,1.0,0.5,1.0,0.5,2.0,1.0,2.0,1.0,2
15,Frequency,0.75,0.5,0.75,0.5,2.0,2.0,2.0,2.0,3
15,Frequency,0.75,0.6,0.75,0.5,2.0,2.0,2.0,2.0,4
15,Frequency,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,5
15,Frequency,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,6
15,Frequency,0.75,0.5,0.75,0.5,2.0,2.0,2.0,2.0,7
16,Baseline,1.0,7.0,5.0,3.0,6.0,3.0,2.0,1.0,1
16,Baseline,8.0,5.0,3.0,2.0,3.0,5.0,7.0,5.0,2
16,Baseline,2.0,4.0,3.0,5.0,4.0,8.0,2.0,1.0,3
16,Baseline,5.0,0.0,5.0,0.0,4.0,10.0,7.0,10.0,4
16,Baseline,0.0,7.0,,4.0,10.0,7.0,1.0,7.0,5
16,Baseline,6.0,0.0,8.0,0.0,5.0,10.0,4.0,10.0,6
16,Baseline,10.0,8.0,10.0,14.0,2.0,3.0,6.0,2.0,7
16,Frequency,5.0,0.0,0.0,7.0,7.0,10.0,10.0,3.0,1
16,Frequency,3.0,0.0,0.0,4.0,6.0,10.0,10.0,6.0,2
16,Frequency,0.0,3.0,4.0,0.0,10.0,5.0,7.0,10.0,3
16,Frequency,4.0,0.0,0.0,5.0,7.0,10.0,10.0,3.0,4
16,Frequency,1.03,4.0,3.0,0.0,,7.0,5.0,10.0,5
16,Frequency,5.0,0.0,0.0,4.0,8.0,10.0,10.0,6.0,6
16,Frequency,10.0,15.0,0.0,0.0,4.0,6.0,10.0,10.0,7
17,Baseline,-0.09,0.36,0.18,0.47,6.0,9.0,7.0,9.0,1
17,Baseline,0.18,0.86,0.55,0.82,4.0,8.0,9.0,9.0,2
17,Baseline,0.63,0.06,0.78,0.3,4.0,5.0,6.0,5.0,3
17,Baseline,0.28,1.12,0.97,0.18,1.0,7.0,1.0,8.0,4
17,Baseline,0.76,0.89,0.78,0.89,1.0,3.0,4.0,2.0,5
17,Baseline,0.96,0.1,0.09,1.12,8.0,6.0,2.0,5.0,6
17,Baseline,0.9,0.78,0.67,0.45,9.0,5.0,6.0,1.0,7
17,Frequency,0.69,0.87,1.72,1.26,9.0,8.0,7.0,1.0,1
17,Frequency,1.56,1.12,0.47,0.59,2.0,4.0,3.0,8.0,2
17,Frequency,0.35,0.18,1.32,1.12,6.0,9.0,3.0,2.0,3
17,Frequency,0.4,0.04,0.5,0.53,3.0,8.0,2.0,9.0,4
17,Frequency,0.68,0.89,0.57,0.63,8.0,1.0,2.0,6.0,5
17,Frequency,0.46,1.04,0.45,1.12,6.0,5.0,6.0,9.0,6
17,Frequency,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
18,Baseline,1.03,0.1,0.63,0.4,3.0,1.0,3.0,2.0,1
18,Baseline,0.4,0.06,0.4,0.06,2.0,3.0,2.0,4.0,2
18,Baseline,0.8,0.4,0.7,0.03,2.0,3.0,1.0,1.0,3
18,Baseline,-0.39,1.2,0.5,0.7,5.0,3.0,2.0,2.0,4
18,Baseline,1.3,0.03,-0.53,0.68,2.0,2.0,6.0,4.0,5
18,Baseline,1.6,0.3,0.5,0.81,8.0,3.0,2.0,4.0,6
18,Baseline,1.43,-0.4,0.65,0.03,5.0,2.0,3.0,3.0,7
18,Frequency,0.3,0.53,0.04,-0.4,2.0,5.0,2.0,1.0,1
18,Frequency,0.03,0.65,1.43,-0.4,2.0,2.0,2.0,3.0,2
18,Frequency,1.3,0.9,1.43,0.4,4.0,3.0,2.0,1.0,3
18,Frequency,0.03,0.19,1.43,0.4,2.0,3.0,1.0,2.0,4
18,Frequency,0.03,0.65,1.43,0.6,3.0,3.0,5.0,2.0,5
18,Frequency,0.03,19.0,1.43,0.3,3.0,3.0,2.0,2.0,6
18,Frequency,1.2,0.19,0.89,0.33,3.0,2.0,2.0,2.0,7
19,Baseline,0.42,0.62,0.42,0.62,1.0,1.0,1.0,1.0,1
19,Baseline,1.06,0.52,0.46,0.32,1.0,1.0,1.0,1.0,2
19,Baseline,-0.11,0.88,0.71,0.55,1.0,1.0,1.0,1.0,3
19,Baseline,1.52,0.56,0.77,0.88,1.0,1.0,1.0,1.0,4
19,Baseline,1.0,0.1,0.3,1.15,1.0,1.0,1.0,1.0,5
19,Baseline,0.82,0.32,0.82,0.32,1.0,1.0,1.0,1.0,6
19,Baseline,,,,,1.0,1.0,1.0,1.0,7
19,Frequency,,,,,1.0,1.0,1.0,1.0,1
19,Frequency,,,,,1.0,1.0,1.0,1.0,2
19,Frequency,,,,,1.0,1.0,1.0,1.0,3
19,Frequency,,,,,1.0,1.0,1.0,1.0,4
19,Frequency,,,,,1.0,1.0,1.0,1.0,5
19,Frequency,,,,,1.0,1.0,1.0,1.0,6
19,Frequency,,,,,1.0,1.0,1.0,1.0,7
20,Baseline,8.0,1.0,4.0,10.0,8.0,1.0,2.0,7.0,1
20,Baseline,8.0,2.0,7.0,6.0,8.0,1.0,8.0,4.0,2
20,Baseline,9.0,6.0,8.0,6.0,10.0,5.0,7.0,6.0,3
20,Baseline,5.0,5.0,5.0,5.0,7.0,5.0,8.0,10.0,4
20,Baseline,6.0,8.0,3.0,6.0,8.0,6.0,7.0,9.0,5
20,Baseline,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,6
20,Baseline,15.0,5.0,12.0,16.0,6.0,6.0,3.0,5.0,7
20,Frequency,10.0,4.0,4.0,7.0,9.0,4.0,5.0,3.0,1
20,Frequency,2.0,8.0,6.0,2.0,5.0,9.0,8.0,6.0,2
20,Frequency,1.0,9.0,4.0,0.0,5.0,9.0,5.0,2.0,3
20,Frequency,5.0,8.0,5.0,2.0,7.0,6.0,5.0,3.0,4
20,Frequency,4.0,7.0,3.0,2.0,5.0,5.0,6.0,6.0,5
20,Frequency,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6
20,Frequency,2.0,20.0,20.0,15.0,10.0,6.0,5.0,3.0,7
21,Baseline,0.58,1.2,0.34,0.2,1.0,4.0,2.0,2.0,1
21,Baseline,0.76,2.3,0.98,2.01,1.0,2.0,1.0,1.0,2
21,Baseline,0.67,1.01,0.45,1.2,3.0,2.0,2.0,1.0,3
21,Baseline,0.4,0.52,2.2,0.34,1.0,4.0,3.0,2.0,4
21,Baseline,0.38,0.59,0.68,0.82,2.0,1.0,2.0,1.0,5
21,Baseline,1.73,2.13,0.94,0.34,3.0,2.0,2.0,2.0,6
21,Baseline,1.4,1.01,0.73,2.0,2.0,3.0,2.0,2.0,7
21,Frequency,0.2,1.5,0.75,0.56,3.0,2.0,2.0,2.0,1
21,Frequency,0.45,2.1,0.36,0.3,3.0,3.0,1.0,2.0,2
21,Frequency,0.36,2.0,1.2,0.87,3.0,4.0,3.0,2.0,3
21,Frequency,0.74,1.05,0.45,0.56,1.0,2.0,2.0,1.0,4
21,Frequency,0.93,0.28,1.6,2.3,4.0,1.0,2.0,2.0,5
21,Frequency,1.8,1.9,0.72,0.57,2.0,3.0,3.0,2.0,6
21,Frequency,0.18,1.83,0.87,0.36,2.0,3.0,2.0,2.0,7
22,Baseline,0.81,0.54,0.6,0.21,3.0,4.0,6.0,3.0,1
22,Baseline,0.9,0.23,0.87,0.41,8.0,7.0,7.0,2.0,2
22,Baseline,0.83,0.13,0.83,0.15,7.0,4.0,7.0,5.0,3
22,Baseline,0.75,0.25,0.75,0.25,10.0,10.0,10.0,10.0,4
22,Baseline,0.65,0.23,0.7,0.2,7.0,6.0,8.0,9.0,5
22,Baseline,0.5,0.5,0.5,0.5,10.0,10.0,10.0,10.0,6
22,Baseline,0.75,0.25,0.75,0.5,5.0,5.0,5.0,5.0,7
22,Frequency,0.75,0.25,0.5,0.75,5.0,5.0,5.0,5.0,1
22,Frequency,0.5,0.5,0.5,0.5,7.0,7.0,7.0,7.0,2
22,Frequency,0.5,0.5,0.5,0.5,10.0,10.0,10.0,10.0,3
22,Frequency,0.5,0.5,0.5,0.5,10.0,10.0,10.0,10.0,4
22,Frequency,0.6,0.3,0.3,0.6,7.0,7.0,7.0,7.0,5
22,Frequency,0.5,0.5,0.5,0.5,8.0,8.0,8.0,8.0,6
22,Frequency,0.5,0.5,0.5,0.5,8.0,8.0,8.0,8.0,7
23,Baseline,0.6,1.2,1.5,0.48,7.0,1.0,1.0,6.0,1
23,Baseline,0.45,0.34,0.55,0.1,5.0,4.0,5.0,7.0,2
23,Baseline,0.8,0.7,0.5,0.2,4.0,3.0,4.0,5.0,3
23,Baseline,0.6,0.25,0.5,0.2,1.0,8.0,6.0,1.0,4
23,Baseline,0.5,0.25,0.8,0.2,1.0,7.0,4.0,1.0,5
23,Baseline,0.5,0.75,0.5,0.2,1.0,6.0,7.0,1.0,6
23,Baseline,0.4,0.75,0.5,0.2,2.0,3.0,1.0,1.0,7
23,Frequency,0.2,1.0,0.75,0.5,1.0,8.0,8.0,1.0,1
23,Frequency,0.2,0.5,1.0,0.4,1.0,8.0,9.0,1.0,2
23,Frequency,0.6,0.5,1.0,0.8,6.0,1.0,1.0,7.0,3
23,Frequency,0.2,0.5,0.6,0.0,1.0,8.0,3.0,8.0,4
23,Frequency,0.5,-0.25,0.8,0.3,2.0,2.0,4.0,2.0,5
23,Frequency,0.8,0.0,0.5,0.4,10.0,5.0,2.0,2.0,6
23,Frequency,0.5,0.0,0.5,0.4,6.0,2.0,6.0,6.0,7
24,Baseline,0.82,0.63,1.4,0.63,8.0,6.0,10.0,,1
24,Baseline,0.82,0.63,1.4,-0.32,5.0,7.0,5.0,4.0,2
24,Baseline,0.4,0.63,1.16,-0.12,5.0,6.0,7.0,5.0,3
24,Baseline,1.12,0.25,0.78,0.14,6.0,6.0,8.0,5.0,4
24,Baseline,1.4,0.12,0.6,0.5,8.0,6.0,6.0,5.0,5
24,Baseline,0.82,0.63,1.4,0.34,8.0,6.0,5.0,5.0,6
