"SubjID","ChoiceSet","Condition","PropOptimal","RT"
51,"CA","Gains",0.52,868.08
51,"CB","Gains",0.84,939.6
51,"AD","Gains",0.92,777.44
51,"BD","Gains",0.88,1418.88
52,"AB","LossesEF",0.23,1031.57
52,"CD","LossesEF",0.2,1115.18
52,"CA","LossesEF",0.04,746.96
52,"CB","LossesEF",0.08,966.64
52,"AD","LossesEF",0.96,925.2
52,"BD","LossesEF",1,782.6
53,"AB","Gains",0.28,1167.28
53,"CD","Gains",0.32,1410.06
53,"CA","Gains",0.76,2257.96
53,"CB","Gains",0.76,3008.6
53,"AD","Gains",0.28,3501.52
53,"BD","Gains",0.12,2068.04
54,"AB","LossesEF",0.59,1918.94
54,"CD","LossesEF",0.78,2509.22
54,"CA","LossesEF",0.48,1510.04
54,"CB","LossesEF",0.32,986.96
54,"AD","LossesEF",0.72,1296
54,"BD","LossesEF",0.68,1125.72
55,"AB","Losses",0.45,3919.6
55,"CD","Losses",0.54,5291.06
55,"CA","Losses",0.8,1205.04
55,"CB","Losses",0.68,1729.2
55,"AD","Losses",0.64,1411.52
55,"BD","Losses",0.92,1730.2
56,"AB","Gains",0.44,721.86
56,"CD","Gains",0.6,926.28
56,"CA","Gains",0.2,725.6
56,"CB","Gains",0.56,727.6
56,"AD","Gains",0.52,662.28
56,"BD","Gains",0.4,697.8
57,"AB","LossesEF",0.36,3214.06
57,"CD","LossesEF",0.8,1479.7
57,"CA","LossesEF",0.92,1125.72
57,"CB","LossesEF",0.68,1445.52
57,"AD","LossesEF",0.64,1728.8
57,"BD","LossesEF",0.96,1784.4
58,"AB","Losses",0.9,942.96
58,"CD","Losses",0.8,1043.68
58,"CA","Losses",0.24,1079.8
58,"CB","Losses",0.64,1682.36
58,"AD","Losses",0.64,1331.12
58,"BD","Losses",0.48,1006.92
59,"AB","Losses",0.57,1794.12
59,"CD","Losses",0.72,2020.32
59,"CA","Losses",0.72,1792.28
59,"CB","Losses",1,2183.2
59,"AD","Losses",1,3690.12
59,"BD","Losses",0.24,1958.04
60,"AB","Losses",0.47,1549.23
60,"CD","Losses",0.64,1536.5
60,"CA","Losses",0.8,1425.24
60,"CB","Losses",0.84,1510.32
60,"AD","Losses",0.36,1788.88
60,"BD","Losses",0.52,1269.6
61,"AB","LossesEF",0.73,1033.86
61,"CD","LossesEF",0.72,1047.32
61,"CA","LossesEF",0.92,1678.16
61,"CB","LossesEF",1,1038.32
61,"AD","LossesEF",1,995.24
61,"BD","LossesEF",0.08,1691.88
62,"AB","Gains",0.42,1301.3
62,"CD","Gains",0.48,1206.3
62,"CA","Gains",0.52,1694.12
62,"CB","Gains",0.44,1374.04
62,"AD","Gains",0.52,3776.36
62,"BD","Gains",0.52,898.08
63,"AB","Gains",0.9,1561.1
63,"CD","Gains",0.96,1659.08
63,"CA","Gains",0.96,836.52
63,"CB","Gains",0.76,916.08
63,"AD","Gains",1,1266.72
63,"BD","Gains",1,1298.68
64,"AB","Gains",0.96,1011.86
64,"CD","Gains",0.92,1007.62
64,"CA","Gains",0.08,1179.6
64,"CB","Gains",1,1241.28
64,"AD","Gains",1,1357.28
64,"BD","Gains",0.04,1881.88
65,"AB","GainsEF",0.44,1081.10666666667
65,"CD","GainsEF",0.4,1128.02666666667
65,"CA","GainsEF",0.28,908.64
65,"CB","GainsEF",0.44,1017.48
65,"AD","GainsEF",0.64,901.64
65,"BD","GainsEF",0.4,919.72
66,"AB","Gains",0,800.66
66,"CD","Gains",1,1018.44
66,"CA","Gains",0.08,885.44
66,"CB","Gains",0,797.36
66,"AD","Gains",1,872.8
66,"BD","Gains",0.96,899.32
67,"AB","LossesEF",0.67,1015.36
67,"CD","LossesEF",0.58,1484.28
67,"CA","LossesEF",0.68,750.72
67,"CB","LossesEF",0.68,960.28
67,"AD","LossesEF",0.32,831.64
67,"BD","LossesEF",0.36,735.04
68,"AB","GainsEF",0.626666666666667,1507.21333333333
68,"CD","GainsEF",0.466666666666667,1670.77333333333
68,"CA","GainsEF",0.52,1192.32
68,"CB","GainsEF",0.52,1626.92
68,"AD","GainsEF",0.48,1399.36
68,"BD","GainsEF",0.44,1428.44
69,"AB","LossesEF",0.71,1307.6
69,"CD","LossesEF",0.58,1261.06
69,"CA","LossesEF",0.04,937.16
69,"CB","LossesEF",0.48,1331.84
69,"AD","LossesEF",1,912.4
69,"BD","LossesEF",0.44,1250.84
70,"AB","Losses",0.77,951.34
70,"CD","Losses",0.8,1133.18
70,"CA","Losses",0.92,909.8
70,"CB","Losses",1,1096.08
70,"AD","Losses",1,1081.56
70,"BD","Losses",0.88,1347
71,"AB","GainsEF",0.453333333333333,981.986666666667
71,"CD","GainsEF",0.626666666666667,983.72
71,"CA","GainsEF",0.44,1181.24
71,"CB","GainsEF",0.84,1017.68
71,"AD","GainsEF",0.76,1419.92
71,"BD","GainsEF",0.16,1494.24
72,"AB","Losses",0.59,1195.38
72,"CD","Losses",0.4,1341.76
72,"CA","Losses",0.08,1181.84
72,"CB","Losses",0.92,1599.08
72,"AD","Losses",0.92,1499.56
72,"BD","Losses",0.4,1918.32
73,"AB","LossesEF",0.84,1285.62
73,"CD","LossesEF",0.16,1293.38
73,"CA","LossesEF",0.04,925.08
73,"CB","LossesEF",1,1204.12
