Subnum,AIC,BIC,model,Condition,t,alpha,weight,scale,la,alpha_neg
20,278.1472122149607,291.3404816811528,delta_asymmetric_decay_win,Baseline,0.358835541,0.0001,0.790773251,,,0.0001
20,231.64580605739124,241.54075815703536,delta_decay,Frequency,1.10243294,0.9999,0.0001,,,
20,225.2943592416069,241.78594607434712,delta_decay_PVL,Frequency,0.984220168,0.981513622,0.0001,0.316042473,4.9999,
20,235.34172080193667,245.2366729015808,delta_decay_win,Frequency,1.00551602,0.9538899,0.10618053,,,
20,232.40971936680137,248.90130619954155,delta_decay_PVL_win,Frequency,0.98240815,0.9999,0.00887412,0.33243922,0.43671098,
20,216.86430028324884,230.05756974944097,delta_asymmetric_decay_win,Frequency,4.72703642,0.00119016676,0.580210823,,,0.660233478
21,276.9485751667558,286.8435272663999,delta_decay,Baseline,0.56261496,0.24819033,0.9999,,,
21,280.66387813985466,297.1554649725948,delta_decay_PVL,Baseline,0.748817467,0.196619866,0.9999,0.429538871,0.0001,
21,277.0612844172645,286.95623651690863,delta_decay_win,Baseline,0.54281393,0.23449817,0.9999,,,
21,280.9578787860297,297.44946561876986,delta_decay_PVL_win,Baseline,0.467320346,0.9999,0.9999,0.662760772,0.0001,
21,277.41526987425016,290.6085393404423,delta_asymmetric_decay_win,Baseline,0.735119176,0.0001,0.947244125,,,0.815033133
21,279.2629280540652,289.1578801537093,delta_decay,Frequency,1.93653407,0.00239053,0.9999,,,
21,282.96160212739346,299.4531889601336,delta_decay_PVL,Frequency,0.160749629,0.9999,0.0001,0.0001,4.9999,
21,281.4808705055121,291.3758226051562,delta_decay_win,Frequency,0.22055428,0.0905352,0.9999,,,
21,285.33202182361066,301.82360865635087,delta_decay_PVL_win,Frequency,2.91854853,0.00013840048,0.9999,0.0001,4.9999,
21,282.8838617941994,296.0771312603915,delta_asymmetric_decay_win,Frequency,2.03606571,0.0001,0.9999,,,0.0145878921
22,227.5886057957269,237.483557895371,delta_decay,Baseline,1.6111068,0.06315654,0.96483397,,,
22,228.23233995627064,244.7239267890108,delta_decay_PVL,Baseline,1.73581204,0.124695069,0.992319661,0.149661059,0.0001,
22,224.31192377113587,234.20687587078,delta_decay_win,Baseline,1.3496736,0.01022542,0.5538861,,,
22,228.2354982295272,244.72708506226732,delta_decay_PVL_win,Baseline,1.06053917,0.02107981,0.56115037,0.58797902,0.5715311,
22,226.14718748279589,239.340456948988,delta_asymmetric_decay_win,Baseline,1.20697915,0.01362678,0.57138286,,,0.04199543
22,281.55508887614195,291.45004097578607,delta_decay,Frequency,0.13694668,0.47226024,0.9999,,,
22,284.4946478209505,300.98623465369064,delta_decay_PVL,Frequency,0.10801497,0.4454709,0.73681951,0.30876408,4.9999,
22,281.74381930762064,291.6387714072648,delta_decay_win,Frequency,0.09048684,0.45052456,0.9999,,,
22,284.7249124927616,301.2164993255018,delta_decay_PVL_win,Frequency,0.1005235,0.3898495,0.9999,0.35375852,4.9999,
22,283.24204734461824,296.4353168108104,delta_asymmetric_decay_win,Frequency,0.19510153,0.10204143,0.9999,,,0.9999
23,275.96318511632813,285.85813721597225,delta_decay,Baseline,0.15233498,0.07541696,0.25417812,,,
23,255.77919988742093,272.27078672016114,delta_decay_PVL,Baseline,0.711252722,0.175172093,0.656853116,0.0001,0.0001,
23,268.5106273473041,278.4055794469482,delta_decay_win,Baseline,0.134594749,0.0725837224,0.0001,,,
23,246.0558911561652,262.54747798890537,delta_decay_PVL_win,Baseline,3.3112342,0.000165963249,0.496328795,0.0001,0.0001,
23,250.2985376056489,263.49180707184104,delta_asymmetric_decay_win,Baseline,1.1117898,0.507672105,0.0001,,,0.141914674
23,238.1617309733421,248.05668307298615,delta_decay,Frequency,0.66869166,0.14084772,0.21538041,,,
23,241.43205022825296,257.92363706099314,delta_decay_PVL,Frequency,1.05680708,0.262066152,0.722342847,0.0001,0.0001,
23,226.5696475635973,236.46459966324144,delta_decay_win,Frequency,0.83229134,0.19497615,0.1597588,,,
23,228.3232763582216,244.81486319096172,delta_decay_PVL_win,Frequency,0.896685448,0.212201665,0.208741038,0.665684729,0.0001,
23,221.21735654639076,234.41062601258287,delta_asymmetric_decay_win,Frequency,4.99497403,0.0103382,0.41005512,,,0.9999
24,255.7836603287753,265.6786124284194,delta_decay,Baseline,0.91527668,0.42410718,0.9999,,,
24,252.56662310016324,269.0582099329034,delta_decay_PVL,Baseline,1.03361046,0.67680058,0.9999,0.368340182,0.0001,
24,255.82053846579925,265.71549056544336,delta_decay_win,Baseline,0.92164723,0.42542923,0.9999,,,
24,252.567342571052,269.0589294037921,delta_decay_PVL_win,Baseline,1.03363038,0.676802544,0.9999,0.368279176,0.0001,
24,257.19448687991985,270.38775634611204,delta_asymmetric_decay_win,Baseline,0.91400075,0.52937568,0.9999,,,0.37005633
24,278.90366713742003,288.79861923706414,delta_decay,Frequency,0.30699241,0.06938017,0.59167441,,,
24,284.019547653163,300.5111344859032,delta_decay_PVL,Frequency,0.530886462,0.138130056,0.9999,0.9999,0.0001,
24,280.44320764747926,290.33815974712337,delta_decay_win,Frequency,0.09644892,0.06796535,0.33168717,,,
24,283.89772341364846,300.3893102463886,delta_decay_PVL_win,Frequency,0.11916776,0.10755666,0.0160273,0.91296092,4.53927566,
24,281.0248160318978,294.2180854980899,delta_asymmetric_decay_win,Frequency,0.43989797,0.09342016,0.85799005,,,0.32514234
25,66.45975260570476,76.35470470534887,delta_decay,Baseline,1.46786885,0.01819971,0.33950008,,,
25,38.48293153482708,54.97451836756726,delta_decay_PVL,Baseline,0.98286347,0.0001,0.0001,0.0001,0.0001,
25,34.36791019876662,44.26286229841072,delta_decay_win,Baseline,3.66680938,0.02050598,0.10963927,,,
25,36.85151222722604,53.34309905996622,delta_decay_PVL_win,Baseline,3.68905318,0.0211424412,0.164202919,0.769092039,0.0001,
25,36.49078526184032,49.684054728032464,delta_asymmetric_decay_win,Baseline,0.983384014,0.0001,0.0001,,,0.0001
25,196.54256213891824,206.4375142385624,delta_decay,Frequency,3.76390067,0.0030398474,0.9999,,,
25,199.88648619255284,216.37807302529305,delta_decay_PVL,Frequency,3.94181431,0.00274126377,0.9999,0.624609779,0.618376525,
25,201.2405259653707,211.1354780650148,delta_decay_win,Frequency,1.09951782,0.03754556,0.5534217,,,
25,198.40500393216232,214.8965907649025,delta_decay_PVL_win,Frequency,4.97046658,0.000343162042,0.812642363,0.0001,4.9999,
25,194.54351097429657,207.7367804404887,delta_asymmetric_decay_win,Frequency,4.9999,0.000442038295,0.828766237,,,0.00784725527
